Report generated on: 07-31-2020 08:32:12
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"","electricity net consumption (billion kWh)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.2-2-BGD-BKWH.A","        Bangladesh","1.834","2.231","2.565","2.676","2.989","3.135","3.58","3.765","4.121","5.019","5.022","5.49","6.65","7.513","8.237","8.616","8.989","9.388","10.166","11.339","12.456","13.986","15.228","16.318","21.231","23.477","27.469","27.608","28.037","30.857","34.188","37.1378","39.948","43.018","46.171","49.025","58.253","61.8","NA"
"INTL.2-2-BRB-BKWH.A","        Barbados","0.261","0.265","0.277","0.264","0.305","0.312","0.322","0.364","0.385","0.376","0.396","0.46","0.477","0.474","0.498","0.529","0.564","0.599","0.615","0.662","0.703","0.735","0.771","0.81","0.836","0.891","0.913","0.938","0.968","0.978","0.917","0.921","1.021","0.916","0.921","0.962","0.992","1.009","NA"
"INTL.2-2-BLR-BKWH.A","        Belarus","--","--","--","--","--","--","--","--","--","--","--","--","38.66","33.326","29.627","26.951","27.091","28.506","26.322","28.436","28.363","24.708","26.35","26.594","29.013","29.509","30.429","30.547","31.03","29.466","31.736","32.45","33.157","32.661","32.798","31.762","31.721","32.201","NA"
"INTL.2-2-BEL-BKWH.A","        Belgium","45.18","45.201","44.89","46.045","48.247","50.037","51.298","53.794","56.049","57.832","59.032","61.818","63.968","64.663","67.735","69.71","71.19","73.006","74.893","75.298","78.531","79.288","80.098","81.414","83.231","82.764","85.297","85.127","85.097","78.949","84.913","82.669","83.13","83.28","81.42","82.155","82.427","83.197","NA"
"INTL.2-2-BLZ-BKWH.A","        Belize","0.08463","0.08556","0.08649","0.08835","0.09579","0.09951","0.1023","0.10695","0.11625","0.11997","0.13206","0.14694","0.15996","0.17484","0.16275","0.16926","0.17298","0.186","0.17856","0.18693","0.16833","0.271","0.296","0.324","0.348","0.365","0.378","0.399","0.421","0.383","0.4529","0.467","0.5","0.516","0.533","0.567","0.57","0.569","NA"
"INTL.2-2-BEN-BKWH.A","        Benin","0.101","0.115","0.155","0.155","0.137","0.142","0.14","0.135","0.131","0.15","0.165","0.176","0.229","0.221","0.252","0.242","0.279","0.28","0.271","0.315","0.39","0.395","0.398","0.488","0.54","0.583","0.61","0.662","0.738","0.779","0.908","0.905","0.934","0.937","0.935","1.083","1.0601","1.124","NA"
"INTL.2-2-BMU-BKWH.A","        Bermuda","0.28923","0.2976","0.30783","0.32085","0.33294","0.3441","0.35991","0.38037","0.40083","0.40734","0.42873","0.44826","0.45198","0.45291","0.46035","0.4557","0.45942","0.46314","0.4743","0.5115","0.55335","0.59892","0.59799","0.58032","0.58311","0.60636","0.61938","0.62868","0.63705","0.64542","0.63798","0.62682","0.61194","0.59241","0.5766","0.58962","0.58125","0.57846","NA"
"INTL.2-2-BTN-BKWH.A","        Bhutan","0.01988","0.0246","0.02746","0.02446","0.0276","0.03123","0.03772","0.0431","0.03876","0.04469","0.04764","0.05673","0.05065","0.07565","0.09087","0.12488","0.24529","0.38853","0.31412","0.29419","0.28949","0.40253","0.516","0.555","0.597","0.808","1.863","0.995","0.814","1.421","1.7895","1.7207","1.8257","2.0057","2.21771","2.28801","2.14901","2.72602","NA"
"INTL.2-2-BOL-BKWH.A","        Bolivia","1.426","1.5","1.527","1.504","1.365","1.331","1.283","1.318","1.628","1.717","1.813","2.006","1.983","2.014","2.366","2.542","2.721","2.923","3.093","3.314","3.396","3.377","3.485","3.603","3.765","4.194","4.539","4.922","4.913","5.185","5.703","6.116","6.456","6.991","7.366","7.896","7.785","8.305","NA"
"INTL.2-2-BIH-BKWH.A","        Bosnia and Herzegovina","--","--","--","--","--","--","--","--","--","--","--","--","5.324","3.157","3.554","3.205","3.916","4.373","5.484","5.105","7.34","7.389","7.481","7.886","8.275","8.542","8.473","8.458","10.566","10.175","11.067","11.545","11.909","11.624","11.33","11.475","11.907","12.501","NA"
