Report generated on: 07-31-2020 08:32:12
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"","electricity net consumption (billion kWh)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.2-2-EGY-BKWH.A","        Egypt","15.861","17.749","18.224","20.134","25.291","25.329","29.887","31.154","29.735","32.061","37.201","38.135","38.783","42.735","45.179","47.151","47.725","51.753","55.451","60.269","63.557","68.222","72.801","78.824","83.196","89.7782","96.5872","105.1052","110.3832","117.4062","122.698","134.119","137.105","134.512","144.089","153.495","153.859","159.712","NA"
"INTL.2-2-SLV-BKWH.A","        El Salvador","1.433","1.477","1.541","1.396","1.591","1.517","1.566","1.646","1.69","1.745","1.664","1.61","1.729","2.028","2.422","2.801","2.894","3.134","3.244","3.441","4.0621","3.9271","3.8031","4.0101","4.0051","4.4621","4.9101","5.2991","5.1531","5.1631","5.0711","5.2251","5.4431","5.759","5.703","5.996","5.937","6.063","NA"
"INTL.2-2-GNQ-BKWH.A","        Equatorial Guinea","0.01581","0.01395","0.01302","0.01116","0.01395","0.01581","0.01488","0.01581","0.01581","0.01581","0.01581","0.01581","0.01674","0.01674","0.01674","0.01767","0.01767","0.0186","0.01953","0.01953","0.078","0.044","0.098","0.11","0.151","0.241","0.291","0.345","0.401","0.45","0.505","0.572","0.788","1.256","1.431","1.451","1.587","1.539","NA"
"INTL.2-2-ERI-BKWH.A","        Eritrea","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.131","0.138","0.157","0.149","0.153","0.163","0.159","0.18","0.201","0.216","0.218","0.225","0.216","0.228","0.225","0.242","0.255","0.269","0.283","0.307","0.316","0.325","0.331","0.348","NA"
"INTL.2-2-EST-BKWH.A","        Estonia","--","--","--","--","--","--","--","--","--","--","--","--","6.8","5.726","5.91","5.577","5.904","6.212","6.055","5.699","5.873","5.83","6.141","6.522","6.783","6.888","7.329","7.693","7.887","7.4811","7.9481","7.6792","8.2193","8.064","8.194","8.257","8.794","8.742","NA"
"INTL.2-2-SWZ-BKWH.A","        Eswatini","0.25389","0.27342","0.23808","0.21762","0.28551","0.33945","0.44131","0.55433","0.60526","0.68967","0.73457","0.73272","0.94272","0.90572","0.95272","0.9993","0.9523","0.9893","0.99444","0.9813","1.19474","1.22397","1.40257","1.32545","1.19548","1.42628","1.32916","1.44562","1.541","1.50704","1.501317","1.50164","1.54026","1.5195","1.54262","1.60482","1.60524","1.57617","NA"
"INTL.2-2-ETH-BKWH.A","        Ethiopia","0.597","0.641","0.676","0.707","0.769","0.813","0.869","1.089","1.159","1.205","1.079","1.09","1.097","1.297","1.288","1.3","1.376","1.434","1.469","1.463","1.534","1.834","1.863","2.09","2.308","2.584","2.963","3.192","3.3871","3.5804","4.0034","4.6238","5.4821","6.3641","6.5631","7.6041","8.5681","10.7351","NA"
"INTL.2-2-FLK-BKWH.A","        Falkland Islands","0.00186","0.00279","0.00279","0.00279","0.00558","0.00744","0.00837","0.00837","0.01023","0.0093","0.0093","0.0093","0.0093","0.0093","0.0093","0.01023","0.01023","0.01023","0.01116","0.01116","0.01302","0.01395","0.01395","0.01395","0.01395","0.01395","0.01488","0.01488","0.01674","0.01674","0.01488","0.01488","0.01581","0.01581","0.01581","0.01674","0.01581","0.01581","NA"
"INTL.2-2-FRO-BKWH.A","        Faroe Islands","0.14136","0.14601","0.14973","0.14973","0.15717","0.16926","0.1674","0.17112","0.19065","0.19158","0.18786","0.18042","0.17763","0.16086039","0.15719765","0.1562701","0.1627766","0.16370289","0.17115913","0.17950491","0.18972","0.20553","0.21576","0.22227","0.22227","0.21855","0.2325","0.24087","0.24645","0.24552","0.24924","0.24552","0.2604","0.2604","0.27621","0.28458","0.28458","0.30132","NA"
"INTL.2-2-FJI-BKWH.A","        Fiji","0.2697","0.27621","0.28179","0.28923","0.35247","0.35991","0.38316","0.39339","0.38502","0.39618","0.44454","0.44919","0.44733","0.45663","0.49197","0.51429","0.51522","0.5208","0.51708546","0.5580105","0.58683","0.62682","0.66123","0.67239","0.70029","0.732003","0.788733","0.798963","0.812913","0.800823","0.835419","0.808263","0.80073","0.82956","0.84723","0.8649","0.88629","0.94953","NA"
"INTL.2-2-FIN-BKWH.A","        Finland","37.613","38.975","39.369","42.455","45.822","48.989","49.895","53.466","48.353","57.115","64.984","64.899","60.878","63.494","66.486","65.302","67.314","70.65","73.817","75.1","76.207","78.169","80.519","81.709","83.974","81.839","87.189","87.477","83.88","78.517","85.069","81.804","82.44","81.736","80.87","80.301","82.793","83.065","NA"
"INTL.2-2-CSK-BKWH.A","        Former Czechoslovakia","68.54","66.088","66.863","68.842","70.998","74.267","76.271","77.873","78.902","80.44","81.79","77.939","72.284","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"INTL.2-2-SCG-BKWH.A","        Former Serbia and Montenegro","--","--","--","--","--","--","--","--","--","--","--","--","32.613","26.971","27.447","30.097","32.376","32.326","29.432","27.454","30.205","29.998","30.692","30.285","29.784","27.254","--","--","--","--","--","--","--","--","--","--","--","--","--"
"INTL.2-2-SUN-BKWH.A","        Former U.S.S.R.","1168.605","1123.888","1234.063","1278.407","1342.197","1382.51","1343.503","1395.35","1432.73","1464.424","1460.945","1446.912","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"INTL.2-2-YUG-BKWH.A","        Former Yugoslavia","51.044","55.186","56.142","58.914","62.905","65.188","67.85","70.201","72.24","71.174","70.579","64.682","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"INTL.2-2-FRA-BKWH.A","        France","236.442","239.299","242.635","247.079","260.163","277.937","292.67","301.429","309.385","316.531","323.111","345.453","355.223","356.142","363.617","367.9","382.706","381.795","393.428","401.286","409.839","420.511","418.253","435.488","447.004","452.118","447.833","450.009","462.763","446.831","473.963","444.254","456.102","463.607","441.368","450.467","457.953","455.403","NA"
"INTL.2-2-GUF-BKWH.A","        French Guiana","0.09858","0.10788","0.11997","0.14322","0.15717","0.18042","0.19437","0.21669","0.24645","0.27342","0.30876","0.35433","0.38874","0.38967","0.38967","0.39339","0.39339","0.39525","0.39618","0.39804","0.39804","0.54405","0.56358","0.58683","0.60915","0.63333","0.65658","0.83793","0.85746","0.95697","1.02672","0.97929","0.81561","0.81282","0.83793","0.84258","0.8556","1.0416","NA"
"INTL.2-2-PYF-BKWH.A","        French Polynesia","0.22227","0.24366","0.25296","0.20088","0.17856","0.19344","0.19809","0.19809","0.22599","0.23994","0.25761","0.26691","0.28086","0.28644","0.2976","0.31155","0.31341","0.31899","0.3162","0.32271","0.36177","0.43896","0.48546","0.53196","0.56916","0.56079","0.58497","0.61287","0.63891","0.65193","0.585249","0.601989","0.601989","0.586179","0.541539","0.543399","0.552699","0.567579","NA"
"INTL.2-2-GAB-BKWH.A","        Gabon","0.506","0.574","0.644","0.705","0.769","0.833","0.838","0.84","0.845","0.877","0.88","0.901","0.922","0.961","0.815","0.879","0.916","0.963","1.007","1.046","1.043","1.099","1.168","1.197","1.212","1.217","1.299","1.374","1.444","1.439","1.488","1.558","1.656","1.753","1.854","1.907","2.071","2.081","NA"
"INTL.2-2-GMB-BKWH.A","        Gambia, The","0.03441","0.04185","0.04092","0.04185","0.04371","0.04464","0.04929","0.05394","0.05673","0.05301","0.06138","0.06138","0.06231","0.06417","0.06417","0.0651","0.06603","0.06975","0.07626","0.08463","0.10323","0.11811","0.13206","0.14694","0.16182","0.17856","0.18972","0.20181","0.21297","0.213993","0.216969","0.227478","0.236313","0.230733","0.248403","0.262353","0.277233","0.281883","NA"
"INTL.2-2-GEO-BKWH.A","        Georgia","--","--","--","--","--","--","--","--","--","--","--","--","10.113","8.379","7.708","5.514","5.26","5.678","6.695","6.702","6.274","6.226","6.399","6.812","7.014","7.355","6.694","6.905","7.092","6.849","7.622","8.382","8.468","9.098","9.815","9.933","10.483","11.212","NA"
"INTL.2-2-DEU-BKWH.A","        Germany","--","--","--","--","--","--","--","--","--","--","--","491.098","485.685","477.208","475.055","482.523","489.296","492.931","497.445","497.056","509.081","520.195","532.517","544.045","550.234","546.112","551.692","554.104","551.156","522.021","554.942","548.369","548.2","545.94","534.633","538.02","538.313","538.833","NA"
"INTL.2-2-DDR-BKWH.A","        Germany, East","93.619","89.256","90.562","92.517","102.835","106.223","108.359","109.512","111.156","110.58","97.72744","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"INTL.2-2-DEUW-BKWH.A","        Germany, West","358.404","360.011","356.39","364.136","380.628","390.936","396.015","405.476","414.336","395.677","402.042","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"INTL.2-2-GHA-BKWH.A","        Ghana","4.593","4.658","4.339","2.274","1.59","2.483","3.844","4.11","4.21","4.629","5.336","5.71","6.077","5.83","5.593","5.625","6.113","6.262","5.097","5.683","5.979","6.47","5.973","4.476","4.49","5.184","6.346","5.319","5.982","6.109","6.69","7.669","8.632","9.271","9.24","8.34","6.761","10.375","NA"
"INTL.2-2-GIB-BKWH.A","        Gibraltar","0.05","0.052","0.054","0.055","0.055","0.057","0.059","0.058","0.062","0.071","0.071","0.071","0.079","0.07219","0.07719","0.07719","0.07905","0.08091","0.08556","0.08928","0.113","0.114","0.117","0.122","0.124","0.132","0.137","0.141","0.151","0.159","0.161","0.156","0.16","0.172","0.18","0.204","0.231","0.25","NA"
"INTL.2-2-GRC-BKWH.A","        Greece","20.306","20.511","20.718","22.154","23.603","24.484","24.881","25.918","27.349","29.147","30.526","31.482","32.96","33.652","35.206","36.53","38.115","39.836","41.983","43.4","45.978","47.34","49.535","51.671","52.997","54.136","55.813","58.357","59.651","58.896","56.447","56.4","56.941","52.52","52.662","53.985","56.887","57.807","NA"
"INTL.2-2-GRL-BKWH.A","        Greenland","0.14043","0.14322","0.14787","0.15345","0.15903","0.16182","0.16647","0.17019","0.17484","0.18321","0.19251","0.18786","0.18879","0.22041","0.2232","0.22506","0.22599","0.23994","0.24552","0.41664","0.39153","0.36084","0.35526","0.3069","0.285","0.297","0.324","0.328","0.338","0.361","0.351","0.384","0.373","0.382","0.406","0.437","0.381","0.406","NA"
"INTL.2-2-GRD-BKWH.A","        Grenada","0.019","0.021","0.02","0.022","0.02325","0.023","0.026","0.031","0.037","0.042","0.045","0.05","0.053","0.055","0.06","0.081","0.086","0.091","0.101","0.105","0.114","0.124","0.129","0.138","0.13","0.131","0.151","0.1721","0.1741","0.1771","0.1861","0.1841","0.1811","0.1791","0.194","0.18","0.19","0.196","NA"
"INTL.2-2-GLP-BKWH.A","        Guadeloupe","0.2697","0.30039","0.3441","0.35712","0.40176","0.42966","0.50499","0.57195","0.6231","0.58497","0.68076","0.74865","0.81561","0.867711","0.913281","0.915141","1.01463","1.09089","1.09926","1.10205","1.18389","1.1718","1.13274","1.21737","1.45359","1.46289","1.5252","1.59588","1.58007","1.56147","1.56054","1.57635","1.51962","1.48056","1.49544","1.52427","1.51776","1.53357","NA"
"INTL.2-2-GUM-BKWH.A","        Guam","1.00161","0.97092","0.9579","0.85281","0.8742","0.88444372","0.92257988","0.98767001","1.07784935","1.15229184","1.19594878","1.29545668","1.331774","1.46845019","1.55217903","1.50569261","1.6135514","1.62281766","1.64238007","1.68702","1.7411","1.7365","1.533","1.5268","1.5888","1.6353","1.6436","1.6277","1.6257","1.6169","1.6265","1.606","1.4706","1.5734","1.5416","1.5747","1.6411","1.6731","NA"
"INTL.2-2-GTM-BKWH.A","        Guatemala","1.752","1.499","1.427","1.429","1.375","1.431","1.616","1.71","1.798","1.957","2.256","2.458","2.461","2.545","2.722","2.997","2.707","2.561","3.308","4.164","3.83","4.24","4.384","6.221","5.231","6.533","7.267","7.712","7.161","7.287","7.6868","7.9048","8.254","8.624","8.937","9.493","10.039","10.04","NA"
"INTL.2-2-GIN-BKWH.A","        Guinea","0.33759","0.34224","0.34968","0.36084","0.42501","0.43338","0.44082","0.44361","0.45384","0.45663","0.46035","0.465","0.46686","0.47151","0.47337","0.48546","0.49011","0.5766","0.59799","0.67425","0.69099","0.86769","0.91512","0.80445","0.87606","0.81933","0.78399","0.87606","0.89931","0.895497","0.855507","0.790407","0.657417","0.59706","0.64821","1.03509","1.46382","1.51776","NA"
"INTL.2-2-GNB-BKWH.A","        Guinea-Bissau","0.01209","0.01209","0.01209","0.01209","0.01302","0.01302","0.01581","0.01767","0.01953","0.02697","0.03534","0.03627","0.03813","0.04092","0.04278","0.04371","0.04464","0.0465","0.0465","0.04743","0.0279","0.0279","0.0186","0.0186","0.0279","0.0279","0.0279","0.0279","0.0279","0.0279","0.0279","0.02883","0.02976","0.02976","0.031899","0.03255","0.03348","0.03348","NA"
"INTL.2-2-GUY-BKWH.A","        Guyana","0.388","0.402","0.332","0.109","0.093","0.152","0.132","0.329","0.33","0.275","0.247","0.176","0.179","0.18","0.258","0.445","0.527","0.602","0.639","0.671","0.708","0.739","0.739","0.677","0.699","0.4122","0.4383","0.4794","0.4584","0.4525","0.5256","0.5508","0.604","0.642","0.671","0.7281","0.7661","0.8171","NA"
"INTL.2-2-HTI-BKWH.A","        Haiti","0.237","0.234","0.315","0.329","0.355","0.397","0.475","0.428","0.427","0.411","0.453","0.463","0.416","0.335","0.277","0.269","0.286","0.286","0.278","0.268","0.284","0.281","0.248","0.236","0.236","0.323","0.33","0.221","0.209","0.319","0.2179","0.3209","0.41","0.402","0.356","0.382","0.425","0.338","NA"
"INTL.2-2-HITZ-BKWH.A","        Hawaiian Trade Zone","0","0","0","0","0","0","0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"INTL.2-2-HND-BKWH.A","        Honduras","0.76","0.844","0.841","0.813","0.839","0.994","1.342","1.296","1.835","1.789","1.982","1.947","1.731","1.697","1.43","1.551","2.185","2.378","2.648","2.514","3.139","3.21","3.412","3.656","3.946","4.088","4.222","4.699","4.924","4.84","4.868","5.188","5.258","5.427","6.97","7.477","7.356","7.882","NA"
"INTL.2-2-HKG-BKWH.A","        Hong Kong","10.13","10.724","11.526","13.055","13.971","14.774","16.382","20.033","21.387","20.746","22.099","23.409","24.053","25.469","23.079","26.51","29.75","30.508","32.224","32.329","36.894","37.768","38.612","39.035","39.838","40.734","40.856","41.579","41.279","41.894","42.302","42.695","43.872","43.251","44.639","44.527","44.62","44.342","NA"
"INTL.2-2-HUN-BKWH.A","        Hungary","27.385","27.722","28.767","30.007","31.552","32.429","33.084","34.594","34.593","34.795","34.143","31.851","30.514","29.299","29.59","29.883","30.74","30.933","31.04","31.895","31.837","32.883","33.998","34.923","35.348","36.028","36.901","37.776","37.722","35.639","36.541","36.829","36.891","36.912","37.627","38.777","39.407","40.6","NA"
"INTL.2-2-ISL-BKWH.A","        Iceland","2.857","2.954","3.235","3.419","3.598","3.518","3.682","3.701","4.026","4.095","4.073","4.065","4.16","4.369","4.495","4.605","4.62","5.088","5.787","6.742","7.304","7.614","7.951","7.939","8.17","8.235","9.444","11.398","15.767","16.203","16.047","16.348","16.81","17.626","17.307","17.982","17.683","18.255","NA"
"INTL.2-2-IND-BKWH.A","        India","97.898","107.442","113.695","117.213","130.42","140.645","154.717","166.86","185.924","202.681","219.879","240.203","255.687","275.675","297.98","318.336","323.097","344.504","360.501","365.536","383.925","391.98","414.963","442.127","470.993","497.124","547.119","593.32","628.847","679.095","727.272","802.998","845.822","898.437","974.246","1047.031","1117.192","1176.749","NA"
"INTL.2-2-IDN-BKWH.A","        Indonesia","11.299","13.363","15.472","15.553","17.132","23.126","26.952","28.869","32.282","32.563","38.497","40.544","43.803","47.548","51.31","50.082","56.852","64.216","66.045","71.008","77.67","82.979","85.024","88.863","99.594","106.775","111.956","120.615","127.3824","133.4691","145.057","156.94","171.409","183.78","194.21","199.262","212.714","220.96","NA"
"INTL.2-2-IRN-BKWH.A","        Iran","19.676","21.156","23.919","28.086","31.261","31.582","30.702","31.105","39.234","40.241","49.792","53.871","59.171","62.051","65.533","63.732","69.671","73.358","77.62","84.588","94.356","101.705","109.414","119.987","126.993","135.197","146.074","153.263","162.108","169.832","182.714","186.138","195.322","201.137","217.874","220.737","236.307","251.522","NA"
"INTL.2-2-IRQ-BKWH.A","        Iraq","10.167","9.813","12.186","14.449","16.334","18.716","19.875","21.657","24.601","25.996","19.52","17.821","22.64","23.598","25.217","26.18","26.08","26.667","26.781","25.568","27.277","28.131","29.531","24.995","29.681","20.997","25.225","20.121","19.753","30.192","34.095","37.316","33.849","44.117","41.845","40.371","38.46","41.274","NA"
"INTL.2-2-IRL-BKWH.A","        Ireland","8.446","8.302","8.483","8.435","8.67","9.486","9.779","10.697","10.639","11.388","12.014","12.605","13.372","13.701","14.286","14.968","15.941","16.771","17.728","18.79","20.249","20.896","21.781","22.369","23.12","24.004","25.085","25.3","26.355","24.959","24.963","24.311","24.101","24.362","24.538","25.226","25.768","26.313","NA"
"INTL.2-2-ISR-BKWH.A","        Israel","10.931","11.435","12.1","12.997","13.376","13.822","13.645","15.111","16.883","17.91","18.193","18.797","21.732","23.041","25.246","26.575","28.387","29.927","32.485","34.255","37.208","38.575","39.995","41.314","41.601","42.632","44.307","47.058","48.516","45.918","49.474","50.179","53.082","50.435","50.637","52.776","54.9764","55.4528","NA"
"INTL.2-2-ITA-BKWH.A","        Italy","164.891","163.087","165.723","164.854","174.155","178.066","183.551","193.549","186.849","211.842","219.007","224.429","229.508","229.183","236.653","243.307","245.688","252.798","260.156","266.697","279.106","285.053","291.341","295.808","302.973","307.762","314.76","315.713","315.491","297.935","306.981","310.915","305.3","296.472","290.89","296.138","293.298","299.761","NA"
"INTL.2-2-JAM-BKWH.A","        Jamaica","1.485","1.481","1.552","1.74","1.65","1.375","1.419","1.563","1.541","1.712","2.056","1.665","1.726","3.592","4.005","4.856","5.035","5.217","5.461","5.576","5.6","5.7","5.906","6.105","6.064","6.135","6.098","4.941","2.988","3.172","3.177","3.164","2.748","2.688","2.797","2.796","2.965","3.007","NA"
"INTL.2-2-JPN-BKWH.A","        Japan","521.374","522.127","528.362","560.357","593.94","609.764","614.442","663.17","695.604","731.602","772.584","797.667","805.673","813.416","866.555","890.385","910.51","937.534","943.324","949.515","962.33","946.401","960.719","953.169","981.7","990.039","1008.524","1048.412","976.647","949.306","1019.39","1011.565","945.272","996.712","972.913","954.861","946.216","946.165","NA"
"INTL.2-2-JOR-BKWH.A","        Jordan","0.802","1.037","1.274","1.549","1.825","2.009","2.167","1.959","2.022","2.726","3.119","3.324","3.933","4.194","4.481","5.357","5.397","5.699","6.049","6.517","6.546","6.486","6.968","7.36","8.125","8.524","9.394","10.386","11.287","11.639","12.517","13.275","14.522","14.764","15.543","16.247","16.819","17.566","NA"
"INTL.2-2-KAZ-BKWH.A","        Kazakhstan","--","--","--","--","--","--","--","--","--","--","--","--","82.879","79.286","59.78","58.533","52.1","44.952","41.957","39.823","44.469","49.175","49.816","52.789","54.324","57.093","61.321","65.295","69.053","67.191","72.614","76.21","81.807","85.266","90.972","95.417","94.273","86.799","NA"
"INTL.2-2-KEN-BKWH.A","        Kenya","1.662","1.794","1.836","2.202","2.282","2.493","2.323","2.38","2.604","2.692","2.88","2.998","2.994","3.285","3.311","3.455","3.604","3.61","3.736","3.455","3.397","3.848","3.937","4.228","4.569","4.751","5.161","5.448","5.363","5.524","6.051","6.201","6.448","6.929","6.433","7.74","8.147","8.015","NA"
"INTL.2-2-KIR-BKWH.A","        Kiribati","0.00465","0.00465","0.00465","0.00465","0.00558","0.00558","0.00558","0.00651","0.00651","0.00651","0.00651","0.00651","0.00651","0.00651","0.00651","0.00651","0.00651","0.0093","0.0093","0.01116","0.01209","0.01023","0.01209","0.01488","0.01767","0.019902","0.020832","0.020832","0.019995","0.019995","0.022041","0.022971","0.023064","0.023064","0.02325","0.02604","0.0279","0.0279","NA"
"INTL.2-2-UNK-BKWH.A","        Kosovo","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","4.315","4.214","4.394","4.938","4.819","4.923","4.793","4.893","3.9571","4.621","NA"
"INTL.2-2-KWT-BKWH.A","        Kuwait","8.096","8.878","10.316","11.06","12.232","13.515","14.913","15.948","17.367","18.718","18.126","9.443","14.766","17.877","19.58","19.692","21.145","22.181","24.887","26.208","26.828","28.468","30.18","33.036","34.243","36.143","39.314","39.877","42.13","43.408","46.714","46.928","50.003","49.9252","53.639","54.467","57.72","60.518","NA"
"INTL.2-2-KGZ-BKWH.A","        Kyrgyzstan","--","--","--","--","--","--","--","--","--","--","--","--","8.519","8.244","8.145","7.994","6.94","6.693","6.998","8.596","9.114","8.145","7.735","9.589","8.135","6.818","7.101","7.619","7.132","6.972","7.302","8.893","9.943","10.867","11.119","10.68","10.518","11.234","NA"
"INTL.2-2-LAO-BKWH.A","        Laos","0.17324","0.32827","0.36584","0.31073","0.22154","0.23635","0.23001","0.26017","0.23425","0.29407","0.29187","0.21774","0.23814","0.28851","0.21477","0.33589","0.41297","0.43372","0.50131","0.55317","0.60815","0.70928","0.77417","0.86383","0.53524","0.988","1.41","1.61","1.925","2.27","2.355","2.423","2.9464","3.231","3.641","3.966","4.59","4.558","NA"
"INTL.2-2-LVA-BKWH.A","        Latvia","--","--","--","--","--","--","--","--","--","--","--","--","6.768","5.158","4.905","4.874","4.8","4.876","4.704","4.699","4.915","5.019","5.077","5.585","5.78","6.095","6.428","6.829","6.841","6.326","6.563","6.5112","7.1462","6.7532","6.8092","6.7182","6.7974","6.8424","NA"
"INTL.2-2-LBN-BKWH.A","        Lebanon","2.572","2.589","2.747","2.69","2.665","2.596","2.746","2.667","2.733","2.646","2.715","2.709","3.123","4.043","4.185","4.407","6.354","7.534","7.586","7.531","9.21","9.258","10.422","10.931","10.441","10.608","10.345","10.767","11.456","12.342","14.188","14.395","12.939","15.376","15.147","16.284","16.363","16.931","NA"
"INTL.2-2-LSO-BKWH.A","        Lesotho","0","0","0","0","0","0","0","0","0","0","0.192","0.206","0.241","0.281","0.31","0.324","0.335","0.318","0.209","0.23635","0.27984","0.30505","0.30802","0.34025","0.30121","0.43987","0.52825","0.56522","0.59312","0.72664","0.84642","0.7157","0.76198","0.76395","0.7546","0.7539","0.84079","0.741","NA"
"INTL.2-2-LBR-BKWH.A","        Liberia","0.79236","0.74493","0.74958","0.73842","0.64728","0.6789","0.72912","0.7347","0.744","0.73005","0.27993","0.25389","0.26226","0.2604","0.2604","0.2604","0.2604","0.27342","0.279","0.186","0.186","0.186","0.186","0.186","0.186","0.186","0.186","0.2325","0.2325","0.2325","0.2325","0.2604","0.2604","0.2604","0.2604","0.2697","0.3534","0.372","NA"
"INTL.2-2-LBY-BKWH.A","        Libya","3.332","3.687","3.678","4.351","5.843","7.864","9.838","12.894","13.469","13.522","12.619","12.959","13.327","13.239","13.881","14.267","14.119","14.443","10.086","10.599","10.974","11.311","14.281","15.431","16.448","18.517","20.84","21.087","19.336","18.084","18.882","16.177","25.745","28.487","28.37","28.224","27.297","27.509","NA"
"INTL.2-2-LTU-BKWH.A","        Lithuania","--","--","--","--","--","--","--","--","--","--","--","--","10.656","9.021","8.381","8.419","8.37","8.302","8.569","8.234","8.266","8.008","8.219","8.541","8.965","8.874","9.323","9.611","9.9867","9.1988","9.243","9.487","9.659","9.694","9.9","10.017","10.492","10.843","NA"
"INTL.2-2-LUX-BKWH.A","        Luxembourg","3.608","3.405","3.44","3.554","3.783","3.83","3.848","3.939","4.034","4.111","4.14","4.264","4.242","4.387","4.707","5.011","4.907","5.152","5.333","5.524","5.815","6.167","5.749","5.982","6.221","5.984","6.441","6.551","6.442","5.942","6.455","6.374","6.104","6.122","6.12","6.204","6.374","6.405","6.47255"
"INTL.2-2-MAC-BKWH.A","        Macau","0.22785","0.25668","0.29481","0.35154","0.39514","0.43481","0.4884","0.57661","0.62955","0.70021","0.77999","0.87748","0.98076","1.14067","1.23647","1.45928","1.3737","1.40032","1.4082","1.43415","1.39177","1.5033","1.59795","1.68188","1.841","2.118","2.399","2.959","3.2976","3.4362","3.639","3.856","4.23","4.308","4.536","4.834","5.077","5.19","NA"
"INTL.2-2-MDG-BKWH.A","        Madagascar","0.38781","0.3906","0.40083","0.42036","0.44268","0.44919","0.44826","0.44454","0.4557","0.50313","0.53382","0.52824","0.5394","0.54033","0.54312","0.56637","0.61752","0.64635","0.6975","0.72261","0.7254","0.82398","0.80538","0.9207","1.023","1.03323","1.05462","1.10112","1.14576","1.14855","1.22295","1.29363","1.37268","1.44336","1.49916","1.43406","1.69446","1.57356","NA"
"INTL.2-2-MWI-BKWH.A","        Malawi","0.37651","0.37","0.39425","0.42587","0.44068","0.45098","0.48167","0.53096","0.53661","0.5394","0.6603","0.70401","0.72819","0.88629","0.93","0.94674","0.94581","0.97185","1.10112","1.07601","1.15413","1.18017","1.23876","1.25643","1.38477","1.4136","1.44522","1.47405","1.6089","1.59402","1.8135","1.86465","1.9344","1.92696","2.01903","2.00229","2.03112","1.90185","NA"
"INTL.2-2-MYS-BKWH.A","        Malaysia","9.363","10.005","10.504","11.581","12.634","13.699","13.766","14.834","16.679","19.335","22.35","24.252","25.996","28.735","34.034","39.216","43.372","50.614","52.391","56.361","60.328","60.78","64.049","68.323","71.1","69.126","75.253","81.932","84.016","102.798","109.844","110.248","118.556","125.533","126.591","131.526","136.86","143.568","NA"
"INTL.2-2-MDV-BKWH.A","        Maldives","0.00372","0.00465","0.00558","0.00651","0.00837","0.01209","0.01395","0.01674","0.01767","0.0186","0.02139","0.02418","0.02604","0.03534","0.03999","0.05022","0.05487","0.06231","0.07161","0.08091","0.09114","0.10137","0.10974","0.12369","0.1395","0.16182","0.18507","0.21576","0.24645","0.26226","0.225153","0.248496","0.26226","0.26691","0.28737","0.33945","0.31899","0.39432","NA"
"INTL.2-2-MLI-BKWH.A","        Mali","0.09579","0.09579","0.11811","0.13671","0.15252","0.15531","0.18414","0.19995","0.21948","0.22599","0.22413","0.2325","0.25203","0.27156","0.25575","0.28365","0.30318","0.35247","0.35991","0.36456","0.277","0.268","0.246","0.267","0.27","0.593","0.638","0.601","0.782","0.888","1.026","1.114","1.401","2.74","2.519","2.795","2.984","3.115","NA"
"INTL.2-2-MLT-BKWH.A","        Malta","0.47058","0.51522","0.56544","0.575","0.593","0.663","0.719","0.8","0.873","0.934","1.13","1.224","1.281","1.29","1.308","1.382","1.341","1.364","1.408","1.516","1.567","1.57","1.659","1.808","1.792","1.85","1.849","1.844","1.841","1.7","1.819","1.862","1.935","1.932","1.985","2.1084","2.1244","2.2934","NA"
"INTL.2-2-MTQ-BKWH.A","        Martinique","0.23994","0.25947","0.29574","0.34131","0.35619","0.38502","0.41571","0.46686","0.5115","0.55893","0.59613","0.64542","0.69006","0.74493","0.78957","0.85281","0.89094","0.94209","0.95325","0.97185","0.97464","1.11879","1.16157","1.20993","1.24713","1.30572","1.3578","1.40244","1.43964","1.47777","1.41918","1.35687","1.3392","1.32897","1.31316","1.32618","1.34199","1.35408","NA"
